id,value,lat,lon,name
826,66,51.5064201,-0.12721,United Kingdom
124,33,45.3891983,-75.6880035,Canada
156,46,39.9065704,116.3876495,China
356,24,28.6082802,77.2008133,India
250,19,48.8569298,2.3412001,France
276,17,52.5167,13.3833,Germany
36,15,-35.3065414,149.1265564,Australia
724,14,40.4202805,-3.70577,Spain
702,12,1.3,103.8,Singapore
756,11,46.9416008,7.4088602,Switzerland
604,10,-12.0561399,-77.0268021,Peru
380,9,41.9030495,12.4958,Italy
554,9,-41.2889404,174.7762756,New Zealand
484,9,19.4333,-99.1333,Mexico
392,8,35.6832085,139.8089447,Japan
376,8,31.7833,35.2167,Israel
56,8,50.842701,4.3781099,Belgium
40,7,48.2,16.3667,Austria
158,7,25.0333,121.6333,"Taiwan, Province of China"
578,6,59.9122887,10.75,Norway
764,6,13.7533503,100.5048294,Thailand
630,6,18.4515228,-66.0694809,Puerto Rico (US)
710,6,-33.9205017,18.4211998,South Africa
410,6,37.5150185,127.0164719,South Korea
76,6,-15.7835999,-47.8805008,Brazil
608,6,14.58743,120.9836807,Philippines
704,5,21.0288906,105.8546371,Vietnam
404,5,-1.27367,36.8749008,Kenya
643,5,55.7569695,37.6150208,Russia
586,5,33.7076797,73.0704727,Pakistan
100,4,42.7,23.3333,Bulgaria
792,4,39.9429016,32.8605003,Turkey
60,4,32.2994995,-64.7750015,Bermuda (UK)
616,4,52.2287483,21.0062504,Poland
320,4,14.6317196,-90.4674377,Guatemala
850,4,18.3405495,-64.9321518,Virgin Islands (US)
300,4,37.9928017,23.7695007,Greece
218,4,-0.20567,-78.5087433,Ecuador
833,4,54.1452103,-4.48172,Isle of Man (UK)
642,3,44.4342918,26.1029606,Romania
372,3,53.3330994,-6.2488899,Ireland
50,3,23.7132301,90.3995667,Bangladesh
388,3,17.9709702,-76.7882385,Jamaica
188,3,9.6,-83.95,Costa Rica
152,3,-33.45,-70.6667,Chile
203,3,50.1269188,14.4567204,Czech Republic
32,3,-34.6033,-58.3817,Argentina
348,3,47.513031,19.1229801,Hungary
48,3,26.2295399,50.5760002,Bahrain
368,2,33.3418007,44.3935013,Iraq
800,2,0.32538,32.5869713,Uganda
340,2,14.0818996,-87.2053986,Honduras
752,2,59.3525009,18.0326004,Sweden
620,2,38.7169991,-9.1386404,Portugal
136,2,#N/A,#N/A,Cayman Islands
116,2,11.5621996,104.9189987,Cambodia
332,2,18.5391998,-72.3349991,Haiti
504,2,34.0208893,-6.84164,Morocco
784,2,24.4691906,54.3717384,United Arab Emirates
834,2,-6.1705999,35.7308006,Tanzania
458,2,3.1047699,101.6920013,Malaysia
214,2,18.4853001,-69.9100037,Dominican Republic
804,2,50.4505692,30.5242691,Ukraine
360,2,-6.1714902,106.8275223,Indonesia
496,2,47.9221001,106.9169693,Mongolia
894,1,-15.4149199,28.2808895,Zambia
196,1,35.1666985,33.3666992,Cyprus
288,1,5.5810699,-0.19897,Ghana
533,1,12.5373001,-70.0326996,Aruba (Netherlands)
422,1,33.8960686,35.5067787,Lebanon
4,1,34.5315514,69.125351,Afghanistan
170,1,4.5981,-74.0758,Colombia
705,1,46.0605011,14.5165997,Slovenia
8,1,41.322319,19.8251495,Albania
430,1,6.30304,-10.7956896,Liberia
120,1,3.8729999,11.5222998,Cameroon
308,1,12.0524702,-61.7424202,Grenada
398,1,51.1287498,71.4136734,Kazakhstan
591,1,8.9524002,-79.5353928,Panama
246,1,60.2080002,24.8990993,Finland
434,1,32.8722382,13.1923704,Libya
450,1,-18.9126797,47.5289307,Madagascar
566,1,9.0630903,7.4617801,Nigeria
68,1,-19.05,-65.25,Bolivia
414,1,29.3732109,47.9714203,Kuwait
528,1,52.3306999,4.86654,Netherlands
44,1,25.0781994,-77.3438492,Bahamas
51,1,40.1833344,44.5166664,Armenia
716,1,-17.8243809,31.0499401,Zimbabwe
12,1,36.7805595,3.03901,Algeria
28,1,17.1157799,-61.8404312,Antigua And Barbuda
